sensor111,sensor112,sensor113,actuator11
0.0,107.861,427.096,0.0
1.6355555555555557,1212795.983,623.2477777777779,10.28111111111111
2.8801111111111113,2427554.912,823.2935555555555,21.16322222222222
4.483666666666667,3029001.971,977.5803333333332,33.66733333333333
5.883222222222222,4537972.092,1080.833111111111,45.95144444444444
8.301777777777778,5908167.604,1338.105888888889,53.22255555555556
8.779333333333334,6728753.689,1490.3526666666664,66.39666666666666
11.04788888888889,7642664.649,1638.3584444444443,74.88377777777777
11.662444444444445,9635052.55,1993.237222222222,80.22088888888888
13.354,10096855.732,2125.614,91.253
