sensor311,sensor312,sensor313,actuator31
0.0,0.0,0.0,0.0
12.184111111111111,1.7296666666666667,9.106333333333334,10.36511111111111
22.889222222222223,3.2743333333333333,18.008666666666667,24.39622222222222
33.78033333333333,4.934,26.652,35.32133333333333
44.01244444444444,6.832666666666667,33.83733333333333,45.282444444444444
50.065555555555555,8.403333333333334,40.65966666666667,51.73555555555556
70.56466666666665,10.656,51.739,63.014666666666656
72.58277777777778,11.134666666666668,63.147333333333336,71.91177777777777
81.96288888888888,12.714333333333334,68.71566666666668,87.33788888888888
100.712,16.131,79.94200000000001,90.278
