sensor131,sensor132,sensor133,actuator13
0.0,0.0,0.0,0.0
1.140111111111111,6.046555555555555,10.915111111111111,10.69911111111111
2.106222222222222,10.319111111111111,23.307222222222222,20.772222222222222
3.6643333333333334,18.270666666666664,30.658333333333328,35.615333333333325
4.306444444444445,22.08822222222222,45.76544444444444,47.48144444444444
5.527555555555556,25.40977777777778,61.00355555555556,57.82555555555556
7.055666666666667,31.344333333333328,63.972666666666655,61.862666666666655
8.227777777777778,41.086888888888886,81.58377777777777,79.55777777777777
9.70288888888889,47.583444444444446,82.75988888888888,87.22088888888888
9.004,52.23,105.594,92.033
