sensor221,sensor222,sensor223,actuator22
0.0,0.0,0.0,0.0
1.0241111111111112,10.338111111111111,119.16411111111111,11.726111111111111
2.0232222222222225,24.24522222222222,236.60622222222224,24.284222222222223
3.0883333333333334,32.62233333333333,316.39433333333335,34.49133333333333
4.097444444444445,41.89844444444444,483.2514444444445,44.13044444444444
5.188555555555555,58.876555555555555,547.3995555555556,52.02455555555556
6.564666666666667,64.02566666666665,664.5736666666668,69.44566666666665
8.271777777777778,76.42077777777777,712.8017777777778,71.76077777777778
9.65388888888889,81.44488888888888,857.0078888888889,87.27888888888889
10.909,106.143,993.981,109.022
