sensor321,sensor322,sensor323,actuator32
41.78,14.622,0.0,0.0
44.01555555555556,20.531,3.4413333333333336,111.22111111111111
53.37111111111111,23.282,7.250666666666667,201.30622222222223
52.18266666666666,27.687,9.162,319.0563333333334
63.77622222222222,34.2,12.603333333333333,458.86844444444444
73.90777777777777,40.997,17.162666666666667,553.0485555555556
66.36233333333332,46.436,21.488,628.8546666666667
86.56788888888889,52.007,21.617333333333335,766.9007777777779
76.72844444444445,50.75,29.328666666666667,848.107888888889
82.257,57.425,32.567,1072.144
