sensor231,sensor232,sensor233,actuator23
0.0,0.0,0.0,0.0
1.1291111111111112,5.703555555555555,10.367111111111111,11.511111111111111
2.0112222222222225,11.29511111111111,22.99822222222222,20.38222222222222
3.2183333333333333,15.907666666666664,32.999333333333325,36.35233333333333
4.770444444444444,21.52122222222222,41.52144444444444,40.88344444444444
5.837555555555555,28.29577777777778,60.78355555555556,55.230555555555554
6.272666666666667,33.06533333333333,70.58566666666665,68.18466666666666
7.573777777777779,36.03688888888889,84.22477777777777,75.21877777777777
8.79588888888889,41.89344444444444,87.83388888888888,86.20088888888888
10.664,52.678,106.238,106.237
