actuator11,actuator21,actuator13,actuator1
0.0,0.0,0.0,0.0
10.273111111111112,11.66911111111111,10.07711111111111,11.70111111111111
21.209222222222223,20.69022222222222,20.293222222222223,20.165222222222223
30.06733333333333,35.95733333333333,31.728333333333328,33.08933333333333
41.901444444444444,48.49644444444444,48.35944444444444,43.88644444444444
60.321555555555555,57.88455555555556,52.306555555555555,50.02055555555556
68.43666666666665,62.831666666666656,60.85766666666666,72.78066666666666
79.79277777777777,73.06877777777777,70.02077777777777,80.72077777777777
88.54188888888889,82.79388888888889,86.71688888888889,81.20288888888888
103.226,90.681,105.022,100.813
