actuator31,actuator32,actuator33,actuator3
0.0,0.0,0.0,0.0
11.85911111111111,106.77911111111112,20.97722222222222,12.071111111111112
24.11722222222222,210.74222222222224,46.28044444444444,23.827222222222222
35.56733333333333,318.96833333333336,69.70266666666666,36.11433333333333
48.303444444444445,467.9554444444445,84.06388888888888,44.31444444444444
53.71655555555556,535.8455555555555,114.60711111111111,57.95755555555556
73.07166666666666,635.5756666666667,137.3373333333333,61.402666666666654
78.96577777777777,847.0087777777778,154.68155555555555,80.94977777777777
90.15288888888888,850.4778888888889,169.19677777777778,82.32488888888889
105.655,1029.917,200.778,109.842
