sensor211,sensor212,sensor213,actuator21
0.0,97.499,439.589,0.0
1.4385555555555556,1029969.103,587.2307777777778,10.889111111111111
3.309111111111111,2002835.388,718.9325555555555,20.01822222222222
4.778666666666667,3447567.893,1003.6033333333332,33.55633333333333
5.726222222222223,4432941.468,1216.249111111111,45.650444444444446
7.594777777777778,5517257.175,1359.385888888889,54.163555555555554
9.422333333333334,6918019.902,1504.6716666666666,68.84366666666666
10.86488888888889,7265757.604,1771.6294444444443,78.27877777777778
11.914444444444445,9156137.309,1997.362222222222,81.46688888888889
14.356,9316264.446,1968.616,100.239
